Time,Residential_Heating,Residential_Cooling,Residential_DHW,Office_Heating,Office_Cooling,Office_DHW,community_center_Heating,community_center_Cooling,community_center_DHW,Retail_Heating,Retail_Cooling,Retail_DHW,Grocery_Heating,Grocery_Cooling,Grocery_DHW,Hotel_Heating,Hotel_Cooling,Hotel_DHW
 01/01  01:00:00,0.001479206,0,0,0.000367436,0,0.000173397,0.001579681,3.48E-05,0,0,0,0,7.24E-05,0,0,0.000373089,0.000590351,0.000217432
 01/01  02:00:00,0.001268755,0,0.000196246,0.000418659,0,0.000173397,0.001556884,3.42E-05,0,0,0,0,7.90E-05,0,0,0.000266995,0.000603982,0.000214822
 01/01  03:00:00,0.001311507,0,0.000366763,0.000446603,0,0.000173397,0.001582921,3.36E-05,0,0,0,0,0.000192496,0,0,0.000277885,0.000517443,0.000214758
 01/01  04:00:00,0.001377995,0,0.000195697,0.000485409,0,0.000173397,0.001575469,0.000033064,0,0,0,0,0.000180356,0,0,0.000286723,0.000466366,0.000214757
 01/01  05:00:00,0.001353597,0,0.000367281,0.000504749,0,0.000173397,0.001606324,3.25E-05,0,0,0,0,0.000316461,0,0,0.000290255,0.000434181,0.000217182
 01/01  06:00:00,0.001267138,0,0.000772438,0.000533323,0,0.000173397,0.001605204,3.21E-05,0,0,0,0,0.000340485,0,0,0.000209046,0.000403252,0.000219774
 01/01  07:00:00,0.001158765,0,0.002074157,0.000543821,0,0.000173397,0.001650347,3.19E-05,4.94E-05,0,0,0,0.000280268,0,0,0.000142396,0.000616421,0.000809184
 01/01  08:00:00,0.001053688,0,0.002209104,0.000505533,0,0.000478447,0.001603525,3.16E-05,0.000285244,0,0,0.000369093,0.0003301,0.001420111,0,0.000417582,0.001093384,0.000875704
 01/01  09:00:00,0.001115076,0,0.002228229,0.000288654,0,0.000783496,0.001148744,5.13E-05,0.000285244,0.002826398,1.90E-06,0,0.000681128,0.00459054,0,0.000095937,0.00176511,0.003076149
 01/01  10:00:00,0.001210301,0,0.001993553,0.001559906,0,0.000783496,0.001813424,6.51E-05,0.000190163,0.005779749,1.24E-06,0,0.002557212,0.006822164,0,9.42E-05,0.000216175,0.002714812
 01/01  11:00:00,0.001141301,0,0.001812654,0.001975321,0,0.000783496,0.001937951,7.21E-05,0.000190163,0.003978775,0,6.59E-05,0.006409696,0.010585807,0,9.14E-05,0.000310884,0.002563462
 01/01  12:00:00,0.000819638,0,0.001376811,0.002173328,0,0.000539458,0.001824495,7.75E-05,0.000475407,0.00216736,0,0.000306342,0.00640797,0.001742124,0,6.60E-05,0.000351972,0.002380523
 01/01  13:00:00,0.00070209,0,0.001368917,0.002538205,0,0.000295414,0.001831252,8.14E-05,0.000570488,0.003277475,0,0,0.005278231,0.001506516,0,8.06E-05,0.000316716,0.002368253
 01/01  14:00:00,0.000761646,0,0.001363185,0.003183397,0,0.000295414,0.001927248,8.31E-05,0.000313768,0.003488738,0,0.000213299,0.005923915,0.00215717,0,8.13E-05,0.000543299,0.002077344
 01/01  15:00:00,0.000649265,0,0.000983726,0.002982944,0,0.000295414,0.001960036,0.000084247,0.000313768,0.003250367,0,0.000159886,0.005949714,0.00147588,0,6.86E-05,0.000601959,0.002054084
 01/01  16:00:00,0.000422219,0,0.001363157,0.00088394,0,0.000295414,0.001965261,0.000080786,0.000475407,0.00277185,0,0.000213166,0.002459125,0.004700482,0,5.51E-05,0.000660415,0.002270928
 01/01  17:00:00,0.000346257,0,0.001370887,0,0,0.000234408,0.000881596,8.22E-05,0.001140975,0.003266482,0,0.000159831,0.000421373,0.003119364,0,0.000174756,0.00120162,0.000217338
 01/01  18:00:00,0.000212457,0,0.001598531,7.93E-05,0,0.000173397,0.001271597,8.15E-05,0.002377036,0.004833972,0,0.000213138,0.00064812,0.005357955,0,0.00012387,0.00114053,0.000219783
 01/01  19:00:00,0.000152289,0,0.002209161,0.000229857,0,0.000173397,0.001495321,7.84E-05,0.002852443,0.00018052,0,0.000158165,0.00112898,0.006847238,0,0.000119438,0.001497791,0.000443094
 01/01  20:00:00,0.000225213,0,0.001609472,0.000312796,0,0.000173397,0.00149354,7.58E-05,0.002472117,0.000294754,0,0.000106288,0.001270411,0.006387679,0,0.000153267,0.001666433,0.000681075
 01/01  21:00:00,0.000401606,0,0.001753877,0.00036999,0.000002643,0.000173397,0.001492935,5.05E-05,0.001901629,0.000321412,0,0,0.001410895,0.006931454,0,0.000205446,0.001742905,0.000686122
 01/01  22:00:00,0.000672469,0,0.00143352,0.000403028,0,0.000173397,0.001538434,3.96E-05,0.000570488,0.000429054,0,0,0.001320115,0.00681527,0,0.000255948,0.001701183,0.0005206
